,Test Size,Intercept,Coefficient
0,0.5,29.648724253995535,"[ 1.91497958e-01 -1.82071467e+00  1.32580558e-02  7.98882718e+02
 -1.06490170e+05  3.29451973e+04 -6.86322711e+02 -1.08122579e+04
  2.10211091e+02 -1.05184721e+01 -1.07216387e+05 -8.98759469e+01
  6.83586103e+01  3.56586850e+04 -1.77552972e+01 -4.22655406e-01
  6.02389888e-01 -2.28390002e+01  1.62069921e+01]"
1,0.4,33.76000258065275,"[ 1.98595811e-01 -1.86959931e+00  1.11046671e-02  6.47452458e+02
 -8.46242330e+04 -6.97978368e+04 -7.16906901e+02  2.33573284e+04
  1.50296896e+02 -7.85192157e+00 -7.75898480e+03 -1.29704951e+02
  6.29123081e+01  2.53859651e+03 -4.23361797e+00 -5.37584292e-01
 -1.55356760e+00 -2.27909130e+01  1.71189692e+01]"
2,0.3,28.297550392962467,"[ 2.02986418e-01 -1.07507290e+00  1.11163120e-02  4.83946863e+02
 -7.25914142e+04 -3.50213061e+04 -4.31421984e+02  1.17414989e+04
  1.87502013e+02 -9.92650482e+00  1.53276363e+04 -1.13484914e+02
  5.85956115e+01 -5.17236909e+03 -9.29669687e+00 -4.10349943e-01
  2.01853183e+00 -2.26413861e+01  1.69670128e+01]"
3,0.2,31.993514180312307,"[ 1.90933898e-01 -1.18301564e+00  9.94166416e-03  2.46199685e+02
 -6.73748053e+04 -2.37769413e+03 -2.80718054e+02  8.89584256e+02
  2.15393649e+02 -6.76788005e+00 -1.12343306e+04 -1.42356710e+02
  5.09834944e+01  3.66402944e+03 -1.24959584e+01 -4.62807138e-01
 -4.56451269e-01 -2.33813847e+01  1.93400630e+01]"
